,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.667,0.577,0.561,0.591,0.582,-0.109,0.002s
GD43 (↑),0.031,1.460*,1.464*,1.538*,1.515*,0.020,0.001s
GD53 (↑),0.001,0.478*,0.499*,0.485*,0.490*,0.404*,0.001s
PS (↑),-0.957,1.869*,1.918*,1.963*,1.908*,-0.245*,0.000s
rCIP (↓),0.916,0.421*,0.434*,0.389*,0.395*,12.153,0.001s
WB (↓),32.897,5.874*,6.258*,5.524*,5.744*,844.631,0.001s
XB (↓),376.053,0.732*,0.782*,0.691*,0.717*,2715.019,0.001s
SSE (↓),127.769,112.699*,114.486*,110.916*,112.058*,150.007,0.000s
RS (↑),-0.795,-0.488*,-0.516*,-0.468*,-0.484*,-4.960,0.000s
DH (↓),0.140,0.738,0.750,0.733,0.740,0.992,0.005s
B (↓),0.108,1.465,1.567,1.385,1.438,119.894,0.000s
BH (↓),21.295,56.349,57.243,55.458,56.029,25.001,0.000s
D (↑),0.373,0.077,0.075,0.117,0.119,0.002,0.000s
H (↓),1.969,0.844*,0.878*,0.817*,0.836*,5.997,0.001s
DBCV (↑),0.906,-0.999,-0.999,-0.999,-0.999,-0.996,7.837s
I (↑),0.244,0.059,0.055,0.061,0.059,0.000,0.001s
C (↓),0.288,0.342,0.350,0.338,0.343,0.443,0.027s
CDbw (↑),154.044,0.065,0.003,0.009,0.007,0.015,0.015s
VIASCKDE (↑),0.615,0.533,0.517,0.532,0.528,-0.261,0.038s
COP (↓),0.542,0.136*,0.141*,0.140*,0.141*,0.240*,0.010s
Sym (↑),0.072,0.007,0.007,0.007,0.007,0.001,0.003s
CS (↓),0.297,3.245,3.765,3.197,3.255,149.087,0.002s
SF (↑),0.378,0.415*,0.413*,0.415*,0.413*,0.114,0.001s
SD (↓),20871032.045,51910120.160,52852719.538,54203908.907,54985514.213,69375585.022,0.049s
SDbw (↓),4.588,1.979*,2.045*,2.023*,2.055*,2.833*,0.002s
XB* (↓),763.466,0.766*,0.783*,0.712*,0.733*,2971.716,0.001s
S (↑),0.295,0.239,0.225,0.241,0.234,-0.053,0.011s
DB (↓),11.229,1.449*,1.499*,1.421*,1.452*,69.684,0.001s
CH (↑),27.869,261.501*,245.431*,278.053*,267.388*,1.085,0.001s
AD-S (↑),0.885,0.014,0.012,0.016,0.015,-0.012,0.059s
AD-DB (↓),0.126,20.969,21.130,21.229,18.551,113.162,0.063s
AD-CH (↑),698.583,72.212,71.939,71.735,76.699,12.782,0.082s
AD-idea (↑),244.933,0.039,0.025,0.028,0.029,0.043,0.109s
