,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.964,0.648,0.655,0.656,0.630,-0.299,0.006s
GD43 (↑),23.229,1.092,1.119,1.119,1.124,0.009,0.001s
GD53 (↑),0.298,0.449*,0.454*,0.451*,0.484*,0.291,0.001s
PS (↑),5.247,1.718,1.668,1.692,1.856,-0.958,0.001s
rCIP (↓),0.196,0.110*,0.102*,0.105*,0.125*,37.479,0.002s
WB (↓),0.130,4.461,4.397,4.343,4.727,970.790,0.001s
XB (↓),0.066,0.547,0.533,0.530,0.589,5299.253,0.001s
SSE (↓),2.314,185.839,185.000,184.287,189.134,265.060,0.000s
RS (↑),0.871,-0.356,-0.345,-0.342,-0.403,-13.582,0.001s
DH (↓),0.086,0.680,0.674,0.674,0.698,0.975,0.003s
B (↓),0.008,1.076,1.038,1.037,1.178,58.778,0.000s
BH (↓),0.154,92.920,92.500,92.144,94.567,17.671,0.000s
D (↑),0.379,0.216,0.177,0.203,0.185,0.002,0.000s
H (↓),0.535,0.696,0.683,0.681,0.740,14.952,0.003s
DBCV (↑),0.861,-0.989,-0.995,-0.997,-0.996,-0.995,7.217s
I (↑),1.655,0.196,0.203,0.203,0.184,0.000,0.001s
C (↓),0.002,0.290,0.286,0.285,0.295,0.445,0.017s
CDbw (↑),1.494,0.003,0.046,0.041,0.031,0.006,0.107s
VIASCKDE (↑),0.700,0.736*,0.742*,0.740*,0.711*,-0.476,0.057s
COP (↓),0.135,0.476,0.463,0.469,0.466,0.579,0.031s
Sym (↑),0.160,0.007,0.007,0.007,0.006,0.000,0.011s
CS (↓),0.386,1.753,1.734,1.721,1.941,49.019,0.001s
SF (↑),0.365,0.332,0.334,0.334,0.328,0.000,0.002s
SD (↓),580808.618,45231803.671,44894728.446,48754396.973,50725515.441,65052741.634,0.060s
SDbw (↓),0.079,2.420,2.325,2.418,2.466,2.903,0.011s
XB* (↓),0.089,0.608,0.588,0.587,0.608,6441.023,0.003s
S (↑),0.750,0.290,0.296,0.295,0.278,-0.154,0.019s
DB (↓),0.318,1.300,1.276,1.276,1.350,56.708,0.004s
CH (↑),4817.816,268.098,272.028,275.392,253.010,0.646,0.006s
ED-S (↑),0.734,-0.133,-0.090,-0.123,-0.135,-0.213,4.862s
ED-DB (↓),0.565,4.909,4.523,3.972,5.598,30.475,0.373s
ED-CH (↑),382.097,349.722,316.291,327.838,308.235,5.971,0.356s
AD-S (↑),0.741,0.088,0.065,0.090,0.052,-0.127,0.027s
AD-DB (↑),0.525,6.696*,7.955*,6.704*,8.922*,32.711*,0.028s
AD-CH (↑),483.058,163.232,180.688,176.568,181.338,5.048,0.034s
AD-idea (↑),64.657,0.277,0.226,0.286,0.197,0.454,0.045s
