,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.964,0.648,0.655,0.656,0.630,-0.215,0.020s
GD43 (↑),23.229,1.092,1.119,1.119,1.124,0.010,0.002s
GD53 (↑),0.298,0.449*,0.454*,0.451*,0.484*,0.291,0.002s
PS (↑),5.247,1.718,1.668,1.692,1.856,-0.268,0.002s
rCIP (↓),0.196,0.110*,0.102*,0.105*,0.125*,37.365,0.007s
WB (↓),0.130,4.461,4.397,4.343,4.727,563.134,0.002s
XB (↓),0.066,0.547,0.533,0.530,0.589,3449.330,0.003s
SSE (↓),2.314,185.839,185.000,184.287,189.134,262.172,0.001s
RS (↑),0.871,-0.356,-0.345,-0.342,-0.403,-13.529,0.001s
DH (↓),0.086,0.680,0.674,0.674,0.698,0.969,0.010s
B (↓),0.008,1.076,1.038,1.037,1.178,36.528,0.001s
BH (↓),0.154,92.920,92.500,92.144,94.567,17.478,0.000s
D (↑),0.379,0.216,0.177,0.203,0.185,0.002,0.003s
H (↓),0.535,0.696,0.683,0.681,0.740,14.855,0.001s
DBCV (↑),0.861,-0.989,-0.995,-0.997,-0.996,-0.997,39.042s
I (↑),1.655,0.196,0.203,0.203,0.184,0.000,0.001s
C (↓),0.002,0.290,0.286,0.285,0.295,0.441,0.015s
CDbw (↑),1.494,0.003,0.046,0.041,0.031,0.007,1.869s
VIASCKDE (↑),0.679,0.730*,0.745*,0.734*,0.710*,-0.473,0.138s
COP (↓),0.135,0.476,0.463,0.469,0.466,0.574,0.010s
Sym (↑),0.160,0.007,0.007,0.007,0.006,0.000,0.003s
CS (↓),0.386,1.753,1.734,1.721,1.941,30.659,0.002s
SF (↑),0.365,0.332,0.334,0.334,0.328,0.000,0.001s
SD (↓),580808.618,45231803.671,44894728.446,48754396.973,50725515.441,65269338.438,0.022s
SDbw (↓),0.079,2.420,2.325,2.418,2.466,2.817,0.005s
XB* (↓),0.089,0.608,0.588,0.587,0.608,4316.227,0.001s
S (↑),0.750,0.290,0.296,0.295,0.278,-0.138,0.009s
DB (↓),0.318,1.300,1.276,1.276,1.350,38.537,0.003s
CH (↑),4817.816,268.098,272.028,275.392,253.010,1.113,0.001s
AD-S (↑),0.741,0.088,0.065,0.090,0.052,-0.141,0.030s
AD-DB (↓),0.525,6.696,7.955,6.704,8.922,32.413,0.026s
AD-CH (↑),483.058,163.232,180.688,176.568,181.338,5.636,0.028s
AD-idea (↑),1454545767115.851,1.004,1.023,1.087,0.928,0.006,0.055s
