,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.909,0.690,0.690,0.717,0.741,-0.052,0.006s
GD43 (↑),3.230,1.000,0.934,1.166,1.111,0.018,0.002s
GD53 (↑),0.050,0.463*,0.410*,0.486*,0.413*,0.436*,0.001s
PS (↑),-0.644,1.585*,1.662*,1.742*,1.734*,1.430*,0.001s
rCIP (↓),0.116,0.041*,0.034*,0.020*,0.002*,4.685,0.005s
WB (↓),0.797,3.871,3.519,3.221,2.736,1099.372,0.002s
XB (↓),0.195,0.458,0.426,0.396,0.336,892.216,0.002s
SSE (↓),57.186,368.992,356.841,345.263,323.279,556.082,0.001s
RS (↑),0.511,-0.286,-0.317,-0.229,-0.183,-5.947,0.001s
DH (↓),0.210,0.621,0.612,0.610,0.565,0.989,0.032s
B (↓),0.086,0.870,0.828,0.783,0.663,131.010,0.002s
BH (↓),8.169,184.496,178.421,172.631,161.639,79.440,0.000s
D (↑),0.483,0.201,0.324,0.305,0.368,0.034,0.004s
H (↓),0.584,0.616,0.607,0.566*,0.509*,6.978,0.001s
DBCV (↑),0.092,-0.924,-0.870,-0.900,-0.706,-0.947,23.845s
I (↑),0.969,0.434,0.472,0.460,0.590,0.001,0.001s
C (↓),0.023,0.228,0.190,0.209,0.152,0.510,0.067s
CDbw (↑),0.332,0.008,0.007,0.007,0.021,0.009,0.566s
VIASCKDE (↑),0.628,0.517,0.624,0.583,0.623,-0.251,0.052s
COP (↓),0.178,0.295,0.279,0.297,0.337,0.385,0.025s
Sym (↑),0.043,0.005,0.004,0.013,0.018,0.000,0.005s
CS (↓),0.720,1.838,1.761,1.543,1.411,46.611,0.003s
SF (↑),0.251,0.285*,0.284*,0.281*,0.302*,0.004,0.002s
SD (↓),6068.380,51971.742,53720.202,57677.990,59425.077,86092.029,0.089s
SDbw (↓),0.274,1.444,1.239,1.574,1.462,2.729,0.007s
XB* (↓),0.254,0.494,0.519,0.408,0.407,961.028,0.001s
S (↑),0.473,0.354,0.383,0.365,0.432,-0.060,0.035s
DB (↓),0.544,1.199,1.190,1.183,1.063,44.343,0.002s
CH (↑),1143.646,406.068,446.658,487.996,574.632,0.829,0.000s
MST-S (↑),0.347,0.408*,0.549*,0.402*,0.385*,-0.002,0.157s
MST-DB (↓),1.170,1.065*,0.920*,1.058*,1.290,18.076,0.134s
MST-CH (↑),475.714,723.700*,887.792*,819.606*,683.274*,25.726,0.189s
