,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.957,0.682,0.843,0.626,0.792,-0.023,0.003s
GD43 (↑),11.419,1.001,1.821,0.879,1.558,0.010,0.001s
GD53 (↑),0.392,0.430*,0.412*,0.432*,0.436*,0.474*,0.001s
PS (↑),2.837,1.679,1.636,1.792,1.883,1.712,0.001s
rCIP (↓),0.000,0.007,0.000,0.041,0.005,2.712,0.001s
WB (↓),0.182,3.872,1.607,4.675,2.077,1722.786,0.001s
XB (↓),0.067,0.471,0.193,0.579,0.259,3925.904,0.001s
SSE (↓),20.856,391.937,264.808,416.312,302.851,592.687,0.000s
RS (↑),0.825,-0.276,0.155,-0.420,-0.025,-3.990,0.000s
DH (↓),0.155,0.584,0.432,0.647,0.496,0.997,0.023s
B (↓),0.029,0.918,0.373,1.151,0.519,276.423,0.001s
BH (↓),4.171,195.968,132.404,208.156,151.425,118.537,0.000s
D (↑),0.400,0.350,0.361,0.329,0.410*,0.119,0.002s
H (↓),0.217,0.620,0.306,0.736,0.412,4.986,0.001s
DBCV (↑),0.855,-0.995,-0.183,-0.996,-0.998,-0.998,20.528s
I (↑),3.443,0.340,0.894,0.266,0.725,0.000,0.002s
C (↓),0.002,0.219,0.071,0.255,0.120,0.565,0.090s
CDbw (↑),0.248,0.036,0.072,0.006,0.046,0.009,0.318s
VIASCKDE (↑),0.762,0.747,0.761,0.720,0.726,-0.302,0.051s
COP (↓),0.143,0.332,0.275,0.340,0.282,0.449,0.017s
Sym (↑),0.095,0.004,0.031,0.004,0.007,0.000,0.006s
CS (↓),0.646,1.776,1.119,1.839,1.305,50.077,0.005s
SF (↑),0.447,0.291,0.375,0.267,0.356,0.023,0.001s
SD (↓),11241598.719,206970993.674,147338822.782,263599570.113,185732958.530,313428148.726,0.096s
SDbw (↓),0.090,1.180,0.684,1.430,0.946,2.531,0.004s
XB* (↓),0.078,0.548,0.234,0.671,0.297,4047.039,0.001s
S (↑),0.735,0.394,0.550,0.334,0.486,-0.034,0.045s
DB (↓),0.372,1.280,0.785,1.482,0.893,70.217,0.002s
CH (↑),6840.911,515.556,1242.181,426.936,960.781,0.722,0.001s
MST-S (↑),0.781,0.485,0.584,0.349,0.564,-0.064,0.095s
MST-DB (↓),0.451,0.957,0.867,1.207,0.857,13.896,0.090s
MST-CH (↑),2591.053,1173.025,1288.340,1485.558,1410.268,72.282,0.166s
