,gt,dp,vl,hl,rl
cSIL (↑),0.891,0.466,0.902*,0.878,-0.005
GD43 (↑),2.112,0.607,3.081*,2.623*,0.011
GD53 (↑),0.055,0.428*,0.405*,0.432*,0.491*
PS (↑),2.395,1.419,1.940,1.808,1.884
rCIP (↓),0.095,0.103,0.011*,0.015*,1.357
WB (↓),0.529,10.349,0.860,1.132,7937.955
XB (↓),0.116,1.113,0.108*,0.141,3511.311
SSEI (↓),79.946,447.303,160.520,192.930,533.543
RSI (↑),0.550,-0.508,0.397,0.288,-1.998
DHI (↑),0.260,0.725*,0.352*,0.389*,0.999*
BI (↑),0.118,1.956*,0.215*,0.280*,1758.759*
BHI (↓),26.649,223.651,80.260,96.465,177.848
DI (↑),0.092,0.136*,0.345*,0.154*,0.005
HI (↑),0.275,0.978*,0.194,0.242,2.998*
DBCVI (↓),0.902,0.971,0.769*,0.865*,0.999
DBCV (↑),-0.326,-0.917,-0.771,-0.810,-0.973
SF (↑),0.457,0.280,0.453,0.428,0.118
SD (↓),12254408.467,64913806.259,28009253.396,34445172.581,86442885.951
SDbw (↓),0.471,1.906,0.829,0.937,2.938
XB* (↓),0.285,1.299,0.133*,0.163*,3555.136
SS (↑),0.604,0.203,0.605*,0.554,-0.011
DBS (↓),0.605,1.826,0.566*,0.644,95.513
CHS (↑),2829.647,192.865,2320.455,1762.983,0.188
ED-SS (↑),0.572,-0.171,0.392,0.365,-0.028
ED-DBS (↓),1.038,2.888,0.715*,1.350,7.266
ED-CHS (↑),1143.966,597.339,4189.867*,1433.543*,124.101
MST-SS (↑),0.575,0.003,0.367,0.217,-0.016
MST-DBS (↓),1.028,2.589,1.234,1.643,5.151
MST-CHS (↑),1126.751,771.669,1496.625*,1134.409*,176.004
idea (↓),4.117,3.370*,2.125*,2.496*,10.839
