,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.919,0.679,0.680,0.697,0.733,-0.084,1.122s
GD43 (↑),18.732,1.140,1.126,1.181,1.363,0.003,0.024s
GD53 (↑),0.355,0.494*,0.488*,0.483*,0.493*,0.407*,0.022s
PS (↑),3.636,1.834,1.764,1.958,1.822,-4.562,0.024s
rCIP (↓),8.193,0.054*,0.044*,0.024*,0.014*,320.214,0.035s
WB (↓),0.317,3.791,3.815,3.475,2.923,6574.691,0.022s
XB (↓),0.129,0.472,0.471,0.434,0.363,44043.680,0.025s
SSE (↓),28.638,2979.647,2986.066,2888.845,2702.421,4517.122,0.001s
RS (↑),0.685,-0.310,-0.308,-0.270,-0.189,-48.635,0.001s
DH (↓),0.076,0.646,0.641,0.631,0.598,0.993,0.511s
B (↓),0.006,0.939,0.931,0.869,0.723,129.492,0.004s
BH (↓),0.573,1489.824,1493.033,1444.422,1351.210,90.342,0.001s
D (↑),0.179,0.195*,0.204*,0.229*,0.278*,0.002,0.062s
H (↓),4.067,0.641*,0.639*,0.606*,0.533*,49.968,0.002s
DBCV (↑),-0.158,-0.981,-0.929,-0.929,-0.926,-0.993,7.121s
I (↑),0.353,0.348,0.351,0.365*,0.442*,0.000,0.004s
C (↓),0.003,0.228,0.225,0.214,0.182,0.471,1.624s
CDbw (↑),0.131,0.003,0.003,0.003,0.004,0.006,3.301s
VIASCKDE (↑),0.707,0.821*,0.831*,0.826*,0.838*,-0.619,1.398s
COP (↓),0.080,0.311,0.340,0.361,0.314,0.440,0.082s
Sym (↑),0.008,0.001,0.001,0.004,0.004,0.000,0.014s
CS (↓),0.858,1.872,1.920,1.663,1.527,112.037,0.092s
SF (↑),0.064,0.297*,0.298*,0.298*,0.312*,0.000,0.009s
SD (↓),3706097.926,384716544.408,386476248.726,440498550.875,411468988.953,584451774.740,0.892s
SDbw (↓),0.030,1.544,1.568,1.819,1.646,2.615,0.036s
XB* (↓),0.155,0.478,0.483,0.450,0.368,48772.541,0.014s
S (↑),0.594,0.334,0.342,0.352,0.386,-0.085,0.724s
DB (↓),0.524,1.252,1.244,1.222,1.111,130.434,0.003s
CH (↑),24011.711,3955.353,3930.734,4315.356,5130.291,1.156,0.001s
ED-S (↑),0.455,0.312,0.586*,0.455,0.508*,-0.607,729.009s
ED-DB (↓),1.066,6.153,0.765*,1.173,0.602*,99.661,31.308s
ED-CH (↑),2616.865,2542.650,7085.220*,6749.751*,4364.694*,25.483,30.420s
MST-S (↑),0.436,0.054,0.106,0.119,0.140,-0.146,1311.437s
MST-DB (↓),1.146,1.872,1.896,1.668,1.829,18.992,71.328s
MST-CH (↑),663.547,8144.952*,8615.235*,8444.696*,8870.888*,91.418,70.383s
