,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.908,0.717,0.627,0.736,0.686,-0.083,0.208s
GD43 (↑),12.698,1.225,1.017,1.289,1.199,0.001,0.011s
GD53 (↑),0.307,0.455*,0.497*,0.445*,0.492*,0.386*,0.009s
PS (↑),3.592,1.891,1.940,1.923,1.956,-0.803,0.011s
rCIP (↓),5.334,0.049*,0.071*,0.020*,0.031*,130.135,0.026s
WB (↓),0.362,3.162,4.754,2.851,3.658,3419.617,0.011s
XB (↓),0.127,0.395,0.594,0.356,0.457,211300.466,0.012s
SSE (↓),20.384,1081.476,1242.780,1037.705,1141.496,1749.734,0.001s
RS (↑),0.642,-0.220,-0.408,-0.172,-0.293,-29.683,0.001s
DH (↓),0.102,0.612,0.683,0.595,0.639,0.990,0.387s
B (↓),0.011,0.789,1.189,0.713,0.915,109.685,0.004s
BH (↓),0.658,540.738,621.390,518.852,570.748,56.443,0.001s
D (↑),0.108,0.215*,0.151*,0.256*,0.244*,0.002,0.031s
H (↓),2.837,0.563*,0.745*,0.523*,0.627*,30.966,0.004s
DBCV (↑),-0.157,-0.967,-0.985,-0.979,-0.964,-0.991,24.902s
I (↑),0.516,0.397,0.257,0.422,0.330,0.000,0.008s
C (↓),0.006,0.200,0.265,0.183,0.224,0.473,1.036s
CDbw (↑),0.319,0.008,0.002,0.003,0.005,0.008,1.885s
VIASCKDE (↑),0.650,0.802*,0.773*,0.776*,0.803*,-0.562,0.380s
COP (↓),0.087,0.271,0.246,0.257,0.275,0.325,0.063s
Sym (↑),0.016,0.002,0.002,0.006,0.005,0.000,0.011s
CS (↓),0.884,1.716,2.158,1.502,1.713,90.830,0.038s
SF (↑),0.105,0.320*,0.290*,0.322*,0.305*,0.000,0.007s
SD (↓),2371906.271,125259359.042,144719709.426,139196097.768,155911927.047,205357417.265,0.645s
SDbw (↓),0.058,1.508,1.741,1.648,1.884,2.683,0.020s
XB* (↓),0.173,0.434,0.598,0.400,0.465,246959.495,0.005s
S (↑),0.562,0.368,0.299,0.384,0.344,-0.083,0.414s
DB (↓),0.560,1.129,1.406,1.096,1.240,170.797,0.004s
CH (↑),8758.468,1959.732,1303.275,2173.070,1693.796,0.927,0.002s
MST-S (↑),0.399,0.139,0.071,0.283,0.118,-0.133,0.701s
MST-DB (↓),1.264,1.874,1.802,1.581,2.048,10.521,0.816s
MST-CH (↑),355.475,3123.249*,3083.909*,3713.768*,2537.557*,71.651,1.290s
